"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","Standalone","Logbook","2025-9-4","","clevine access","","","","","","","https://linear.app/canary-technologies/issue/ENT-4268/please-grant-me-access-to-portfolio-wide-role-grants",
"Task","Standalone","Logbook","2025-9-8","Yes","Modify foreign key to one-to-one-field for RegistrationCardExtension; Implement versioning","","","","","","2025-09-08","",
"Task","Standalone","Logbook","2025-9-4","","Slack catch up","","","","","","","",
"Task","Standalone","Logbook","2025-9-8","","Merge changes to make Wyndham use check in v2","","","","","","","- Check Wyndham reg cards after mod- check wyndham settings after mod",
"Task","Standalone","Next","2025-9-12","Yes","ensure oncall commander covered","","","","","","2025-09-11","",
"Task","Standalone","Logbook","2025-9-11","","review","","","","","","","",
"Task","Standalone","Logbook","2025-9-4","","review","","","","","","","",
"Task","Standalone","Logbook","2025-9-8","Yes","wyndham Voice configuration provider  is failing health checks because no bandwidth numbers configured","","","","","","2025-09-08","",
"Task","Standalone","Logbook","2025-9-8","Yes","make sure you are on message about the ladder","","","","","","2025-09-08","",
"Task","Standalone","Logbook","2025-9-5","","explain onboarding values to JC","","","","","","","",
"Task","Standalone","Logbook","2025-9-8","Yes","Try out the BW fix script for reg cards","","","","","","2025-09-08","",
"Task","Standalone","Logbook","2025-9-10","Yes","next wyndham batch - slow down the Whatsapp registration, and retry up to 6 times","","","","","","2025-09-10","",
"Task","Standalone","Logbook","2025-9-5","","do this GJM wyndham shit","","","","","","","https://linear.app/canary-technologies/issue/ENT-4265/disable-all-guest-journey-messages-for-wyndham-sites-they-have-marked",
"Task","Standalone","Logbook","2025-9-8","","Check whether Q removing go-live dates will filter through","","","","","","","* Do we do a null update?",
"Task","Standalone","Logbook","2025-9-5","","Fix upsell menu for this hotel - follow up with Taylor","","","","","","","https://linear.app/canary-technologies/issue/ENT-4284/cp-melbourne-welcome-amenity-dropdown-selection",
"Task","Standalone","Logbook","2025-9-5","","Wyndham access clean up","","","","","","","",
"Task","Standalone","Logbook","2025-9-5","","read and recommend?","","","","","","","https://github.com/zakirullin/cognitive-load",
"Task","Standalone","Logbook","2025-9-5","","error logs for whatsapp number","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","Yes","Make a plan to implement Chetna's BW hardcoding changes - needs to start this week","","","","","","2025-09-08","",
"Task","Standalone","Logbook","2025-9-9","Yes","Remind team - need to fill in the ladder as part of review writing","","","","","","2025-09-08","https://www.notion.so/canarytechnologies/Eng-Ladder-4-Performance-Review-Schedule-2588146861518099be47c54b204875da",
"Task","Standalone","Logbook","2025-9-11","","ladder","","","","","","","",
"Task","Standalone","Logbook","2025-9-8","","Create a ""retry whatsapp"" method in gist, and try it","","","","","","","",
"Task","Standalone","Logbook","2025-9-8","","GM block list","","","","","","","https://linear.app/canary-technologies/issue/ENT-4289/unsubscribe-blacklist-guest-as-requested-by-emil-from-guldsmeden",
"Task","People","Next","","","Review laura","","","","","","","",
"Task","People","Next","","","Review Ryan","","","","","","","",
"Task","People","Next","","","Review Rami","","","","","","","",
"Task","People","Next","","","Review Lauta","","","","","","","",
"Task","Standalone","Logbook","2025-9-30","Yes","Figure out ENT pod leadership questions","","","","","","2025-09-30","- Gareth to think on:    - What are the domains you forecast needing eng leadership on?    - How does the the pod work with Connor and Caitlyn?",
"Task","Standalone","Logbook","2025-9-8","","resubmit LOA","","","","","","","",
"Task","Standalone","Logbook","2025-9-8","","Conner BW bug","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","Resubmit LoA","","","","","","","",
"Task","Standalone","Logbook","2025-9-9","","get use-cases in place","","","","","","","",
"Task","Standalone","Logbook","2025-9-9","","Wyndham whatsapp issue","","","","","","","",
"Task","Standalone","Logbook","2025-9-9","","Review and refine my config doc/figma","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","Yes","Scope how we're going to use extendable reg cards for BW loyalty - RR","","","","","","2025-09-10","",
"Task","Standalone","Logbook","2025-9-10","","need to get on top of growthbok","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","a monitored check type for ""no GJ whatsapp"". Or monitored check for expected media are enabled?","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","Recheck Wyndham inconsistencies from analysis","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","get on top of growthbook","","","","","","","",
"Task","Standalone","Logbook","2025-9-11","Yes","Continue expanding and improving this document","","","","","","2025-09-11","https://www.notion.so/canarytechnologies/Configuration-API-269814686151800f8812f8373d3f90e3",
"Task","Standalone","Logbook","2025-9-10","","FILL in OKRs.","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","Record looms to explain reg card and gjm changes","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","Remove subsequent steps from WCP multiple step plan to avoid confusion","","","","","","","",
"Task","Standalone","Logbook","2025-9-13","","To Do","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","reply to ozzy - intentional","","","","","","","https://linear.app/canary-technologies/issue/ENT-4312/fr-infer-all-hotels-during-sso-provisioning-for-portfolio-wide-roles",
"Task","Standalone","Logbook","2025-9-10","","Vibhor - get help on conditional reg card stuff.","","","","","","","",
"Task","Standalone","Logbook","2025-9-11","","When extendable reg card changes, all the children need to change - build API","","","","","","","",
"Task","Standalone","Logbook","2025-9-11","","Make sure BW chetna hard code roll out is ready for sprint planning","","","","","","","",
"Task","Standalone","Logbook","2025-10-20","","Push for one IHG loyalty programme document which is shared with","","","","","","2025-10-20","",
"Task","Standalone","Logbook","2025-9-12","Yes","Solve sister portfolio precedence","","","","","","2025-09-12","",
"Task","Standalone","Logbook","2025-9-11","","Scope better UI and messages for Monitored check types","","","","","","","",
"Task","Standalone","Next","2025-9-11","Yes","Share out responsibility for things during absence","","","","","","","Lauta triageRami WCP",
"Task","Standalone","Logbook","2025-9-11","","retry wyndhams","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","Rewrite Gist, lots of helper methods","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","","Get move numbers into the process.","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","Scope auto-registereing generic brand during WCP onboarding after brand failure.","","","","","","","*. Automated way to find generic brand?* Or register new generc brand ech time? - easier.",
"Task","Standalone","Logbook","2025-9-11","","import and save the onboarding blocked reasons","","","","","","","",
"Task","Standalone","Logbook","2025-9-10","",". Get e.g. SVG into the process.","","","","","","","",
"Task","Standalone","Logbook","2025-9-11","","unblock move numbers wyndham","","","","","","","",
"Task","Standalone","Logbook","2025-9-11","","errors","","","","","","","https://linear.app/canary-technologies/issue/ENT-4327/bw-errors-initial-configuration#comment-ad01b563",
"Task","Standalone","Logbook","2025-9-12","Yes","Propose ""final"" mechanism for overrides","","","","","","2025-09-12","",
"Task","Standalone","Logbook","2025-9-11","","scope this ticket","","","","","","","https://linear.app/canary-technologies/issue/ENT-4168/ability-to-export-list-of-properties-users-and-roles-from-above",
"Task","Standalone","Logbook","2025-9-11","","fix BW situation","","","","","","","https://canarytechnologies.slack.com/archives/C07BX379GQK/p1757444863830529?thread_ts=1757413221.638869&cid=C07BX379GQK",
"Task","Standalone","Logbook","2025-9-11","","Get extendable thing ready for PR","","","","","","","",
"Task","Standalone","Logbook","2025-9-11","","Fix intended number in use for WCP","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","Get some resolution on this issue","","","","","","","§https://linear.app/canary-technologies/issue/ENT-4213/add-user-to-hotel",
"Task","Standalone","Logbook","2025-9-12","","scope","","","","","","","https://linear.app/canary-technologies/issue/ENT-4238/onboarding-tool",
"Task","Standalone","Logbook","2025-9-11","","Share download Twilio Script to group","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","check what kevin means","","","","","","","https://linear.app/canary-technologies/issue/ENT-4336/introduce-a-new-corporate-admin-level-of-permissions-in-the-canary",
"Task","Standalone","Logbook","2025-9-12","","Expand scope of this ticket iwth detail","","","","","","","https://linear.app/canary-technologies/issue/ENT-4335/rollout-hard-coded-segmented-check-in-messages-for-bw",
"Task","Standalone","Logbook","2025-9-11","","test extendable reg PR and assign to Ryan","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","review scoping of this sso ticket","","","","","","","https://linear.app/canary-technologies/issue/ENT-4282/use-link-between-sso-org-and-portfolio-to-validate-at-join-hotel-to",
"Task","Standalone","Logbook","2025-9-13","Yes","Send nice messsages to everyone on team","","","","","","2025-09-12","Encourage to support each other.",
"Task","Standalone","Logbook","2025-9-11","","Ian doesn't have visibility on Connor's efforts.","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","loom notes for team","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","Yes","expand config doc - race through as much design decision making as possible. Flag areas of concern/interest","","","","","","2025-09-12","",
"Task","Standalone","Logbook","2025-9-11","","SEND Final LoA","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","document loa","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","remind Aditya","","","","","","","https://linear.app/canary-technologies/issue/ENT-4162/engineering-design-zendesk-eu-properties",
"Task","Standalone","Logbook","2025-9-12","","Crown access","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","italian","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","italian","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","put priorities on tirage","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","Document ""how to find enterprise accounts""","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","capture cooling off period in a linear ticket for twiio","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","Prep gist on Wyndham messages","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","WCP 9/17 push and handover","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","Give retro roles to others for incident","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","Check the sms webhook URLs on the numers causing issues.","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","Run echo suites upsells","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","eod","","","","","","","",
"Task","Standalone","Logbook","2025-9-12","","pass on PRs","","","","","","","",
"Task","Standalone","Next","2025-9-12","Yes","OOO on cal","","","","","","","",
"Task","Standalone","Logbook","2025-9-30","","Examine state of the 10/1 batch","","","","","","","Airport Honolulu Hotel, Trademark Collection by Wyndham is trying to do the next step where it moves the number. This is due to the slightly confusing way the Twilio process was built to try each step in turn. Needs a redesign, but I don't think there's anythign wrong if this is one of hte brand failures.3:38Microtel Inn & Suites by Wyndham Prattville is saying ""no messaging service found"". This is also a precondition for the step after the initial brand registration, when it's time to move the number",
"Task","Standalone","Logbook","2025-9-30","","Fix/approve/deploy reg cards","","","","","","","https://github.com/canary-technologies-corp/canary/pull/31002",
"Task","Standalone","Logbook","2025-10-3","","Multiple opportunities -> multiple facts -> inconsistencies","","","","","","","",
"Task","Standalone","Logbook","2025-9-30","","Re-think the approach here: https://github.com/canary-technologies-corp/canary/pull/31603/files","","","","","","","",
"Task","Standalone","Logbook","2025-9-29","","linear","","","","","","","",
"Task","Standalone","Logbook","2025-9-29","","slack","","","","","","","",
"Task","Standalone","Logbook","2025-9-29","","SLA tickets","","","","","","","",
"Task","Standalone","Logbook","2025-10-15","","BW GJM analysis","","","","","","","https://linear.app/canary-technologies/issue/ENT-4424/bw-67007-seeing-significant-drop-in-reg-cards-submitted-since#comment-6f5c985b",
"Task","Standalone","Logbook","2025-10-2","","follow up BW ticket","","","","","","","https://linear.app/canary-technologies/issue/ENT-4381/bw-33121-no-longer-with-best-western",
"Task","Standalone","Logbook","2025-10-1","","respond andrea","","","","","","","https://linear.app/canary-technologies/issue/STAY-1598/missing-tip-links-for-digital-tipping#comment-6045e07a",
"Task","Standalone","Logbook","2025-10-1","","review objectives call","","","","","","","",
"Task","Standalone","Logbook","2025-9-30","","Slack","","","","","","","",
"Task","Standalone","Logbook","2025-9-30","","Linear","","","","","","","",
"Task","Standalone","Logbook","2025-9-30","","email","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","review","","","","","","","",
"Task","Standalone","Logbook","2025-10-2","","expenses","","","","","","2025-10-02","",
"Task","Standalone","Logbook","2025-10-1","","Invite manuel to ceremonis","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","note to andy about wedding","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","Who book - audible","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","Scopre: Remove has_new_permissions_only flag","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","Take a next step, including throwing back","","","","","","","https://linear.app/canary-technologies/issue/ENT-4444/wrong-language-on-the-check-in-form",
"Task","Standalone","Logbook","2025-10-1","","Calibration","","","","","","","https://www.notion.so/canarytechnologies/2025-Fall-Calibrations-27a81468615180128277ced489e94341",
"Task","Standalone","Logbook","2025-10-1","","linear","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","slack","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","email","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","end of day review","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","organize calibration work","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","read","","","","","","","https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents",
"Task","Standalone","Logbook","2025-10-1","","refamiliarize wyndham chat","","","","","","","",
"Task","Standalone","Logbook","2025-10-1","","write up notes for cs bv convo","","","","","","","",
"Task","Standalone","Logbook","2025-10-3","","Fill in Calibration notes","","","","","","","https://www.notion.so/canarytechnologies/Calibration-Group-A-27f8146861518150aacdec1e09c8de1d",
"Task","Standalone","Logbook","2025-10-3","","figure out maxio access","","","","","","","",
"Task","Standalone","Logbook","2025-10-3","","create workstream for Wyndham chat work. reply to the email with clear proposal on variables","","","","","","","",
"Task","Standalone","Logbook","2025-10-2","","my tickets","","","","","","","",
"Task","Standalone","Logbook","2025-10-2","","Help melissa BW onboarding mews","","","","","","","",
"Task","Standalone","Logbook","2025-10-3","","Jen access","","","","","","2025-10-02","https://linear.app/canary-technologies/issue/ENT-4464/give-jen-compendium-manager-role-for-wyndham",
"Task","Standalone","Logbook","2025-10-3","","auth form error","","","","","","","https://linear.app/canary-technologies/issue/ENT-4485/auth-form-error",
"Task","Standalone","Logbook","2025-10-3","","JFDI for wyndham deactivate","","","","","","","https://linear.app/canary-technologies/issue/ENT-4470/do-not-remove-hotel-from-the-portfolio-as-part-of-the-wyndham#comment-1f6ad9f7",
"Task","Standalone","Logbook","2025-10-3","","Why is `LIVE` not set for cohort hotels onboarding status?","","","","","","","Most `None`",
"Task","Standalone","Logbook","2025-10-3","","audit config","","","","","","","https://linear.app/canary-technologies/issue/ENT-4472/audit-hotels-with-unusual-configuration-intl",
"Task","Standalone","Logbook","2025-10-14","","Write up invalid term ID solutions","","","","","","","https://canarytechnologies.slack.com/archives/C04STT7UPRQ/p1759483829609129Canary Admin  GatewayConfig Elavon Location name must match GW Account Hotel code",
"Task","Standalone","Logbook","2025-10-6","","Edit the config doc. Mainly to trim","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","LoA eligibiliity - scope for Rami","","","","","","","",
"Task","People","Logbook","2025-10-30","","Use emojis on matrices to indicate areas of discussion","","","","","","2025-10-30","",
"Task","Standalone","Logbook","2025-10-6","","Fix this SLA issue","","","","","","2025-10-07","https://linear.app/canary-technologies/issue/ENT-4490/dashboard-split-into-2-need-to-merge",
"Task","Standalone","Logbook","2025-10-6","","Linear","","","","","","","",
"Task","Standalone","Logbook","2025-10-6","","Slack","","","","","","","",
"Task","Standalone","Logbook","2025-10-6","","Email","","","","","","","",
"Task","Standalone","Logbook","2025-10-9","","Try to find work for manuel","","","","","","","",
"Task","Standalone","Logbook","2025-10-7","","book holiday for debs","","","","","","","",
"Task","Standalone","Logbook","2025-10-6","","reviews x 2","","","","","","","",
"Task","Standalone","Logbook","2025-10-6","","review krs","","","","","","","",
"Task","Standalone","Logbook","2025-10-10","","Review Ryan","","","","","","2025-10-08","",
"Task","Standalone","Logbook","2025-10-9","","Scope: Create the two types of deactivate script","","","","","","2025-10-09","https://linear.app/canary-technologies/issue/ENT-4375/we-need-an-explicit-sever-ties-configuration-script-type",
"Task","Standalone","Logbook","2025-12-8","","Calendar for time-off deb's wedding","","","","","","","",
"Task","Standalone","Logbook","2025-10-7","","Perms issue and review mati","","","","","","","",
"Task","Standalone","Logbook","2025-10-15","","Improve auditing code and re-run for Ani","","","","","","","",
"Task","Standalone","Logbook","2025-10-9","","Reset the account on this ""wipe"" ticket","","","","","","","https://linear.app/canary-technologies/issue/ENT-4407/bw-05746-wipe-upsells-and-message-data",
"Task","Standalone","Logbook","2025-10-9","","Cycle check-in - who's done what","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","Send next round task","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","Review Lmena","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","Tackle whatever this is","","","","","","","https://linear.app/canary-technologies/issue/ENT-4518/onboarding-app-adding-products-from-different-opportunities",
"Task","Standalone","Logbook","2025-10-8","","review lmena SSO","","","","","","","https://linear.app/canary-technologies/issue/ENT-4100/refactor-get-user-with-calculate-then-execute-pattern-for-improved#comment-840df168",
"Task","Standalone","Logbook","2025-10-8","","address feedback on perms lmena","","","","","","","test first",
"Task","Standalone","Logbook","2025-10-8","","EOD","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","Slack","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","Linear","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","feedback on ap dash","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","zoneinfo","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","update lever","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","Zoneinfo issue","","","","","","","",
"Task","Standalone","Logbook","2025-10-23","","Work on the portfolio-led settings doc","","","","","","2025-10-23","",
"Task","Standalone","Logbook","2025-10-8","","traige","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","tickets","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","tickets","","","","","","","",
"Task","Standalone","Logbook","2025-10-8","","fix SF","","","","","","","",
"Task","Standalone","Logbook","2025-10-21","","Test Wyndham chat stuff and communicate to Wyndham","","","","","","2025-10-21","",
"Task","Standalone","Logbook","2025-10-9","","Write more explanation around DNS changes for Melissa","","","","","","","",
"Task","Standalone","Logbook","2025-10-9","","Scope: IHG whatsapp should be enabled for EU, APAC, not North America","","","","","","","",
"Task","Standalone","Logbook","2025-10-9","","fix marriott onboarding","","","","","","","https://linear.app/canary-technologies/issue/ENT-4525/marriott-tipping-script-not-working-in-onboarding-dashboard",
"Task","Standalone","Logbook","2025-10-9","","Finish permissions bug","","","","","","","",
"Task","Standalone","Logbook","2025-10-23","","Book review sessions, finalize reviews","","","","","","2025-10-20","",
"Task","Standalone","Logbook","2025-10-14","","Cancel Aman","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","do we need to do Wyndham chat pilot separately in UK?","","","","","","","The variable would be whether they accept our requests.",
"Task","Standalone","Logbook","2025-10-21","","Review Laura","","","","","","2025-10-15","",
"Task","Standalone","Logbook","2025-10-10","","review blake","","","","","","2025-10-14","",
"Task","Standalone","Logbook","2025-10-10","","PR reviews","","","","","","","",
"Task","Standalone","Logbook","2025-10-10","","slack","","","","","","","",
"Task","Standalone","Logbook","2025-10-10","","linear","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","Update deactivate plan work to turn off messages and also reschedule","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","Assess code reviews, and recommend scheduling next steps","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","linear","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","slack","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","explo customers created in AP","","","","","","","",
"Task","Standalone","Logbook","2025-10-14","","re-run scripts","","","","","","","https://linear.app/canary-technologies/issue/ENT-4553/wyndham-property-staff-can-not-view-or-use-gms",
"Task","Standalone","Logbook","2025-10-15","","share retro doc","","","","","","2025-10-15","",
"Task","Standalone","Logbook","2025-10-15","","pms validation","","","","","","","https://linear.app/canary-technologies/issue/ENT-4560/pms-validation-failure",
"Task","Standalone","Logbook","2025-10-20","","read","","","","","","","https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agentshttps://github.blog/ai-and-ml/how-to-build-reliable-ai-workflows-with-agentic-primitives-and-context-engineering/",
"Task","Standalone","Logbook","2025-10-15","","prep interview","","","","","","","",
"Task","Standalone","Logbook","2025-10-15","","Whatever this is","","","","","","","https://linear.app/canary-technologies/issue/ENT-4569/support-agent-able-to-update-users#comment-d961db8b",
"Task","Standalone","Logbook","2025-10-15","","Fix the sentry issue causing this","","","","","","","https://linear.app/canary-technologies/issue/ENT-4427/missing-tip-links-for-digital-tipping#comment-843e1dd6",
"Task","Standalone","Logbook","2025-10-15","","BW deactivation","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","scope the ""create demo hotel"" ticket","","","","","","2025-10-16","",
"Task","Standalone","Logbook","2025-10-16","","scope whatsapp ihg eu","","","","","","2025-10-16","https://linear.app/canary-technologies/issue/ENT-4538/ihg-onboarding-whatsapp-enabled",
"Task","Standalone","Logbook","2025-10-17","","review Lauta hard-coded","","","","","","","",
"Task","Standalone","Logbook","2025-10-15","","Work on Enterprise doc","","","","","","","https://www.notion.so/canarytechnologies/Delivering-excellence-to-enterprise-clients-27f81468615180febb39fc8a72e5d004",
"Task","Standalone","Logbook","2025-10-16","","Close out Bala","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","REview Laura doc for Sam","","","","","","","https://www.notion.so/canarytechnologies/Sam-Support-Eng-Start-Plan-287814686151804991bbc8d9376da4b2",
"Task","Standalone","Logbook","2025-10-16","","Re-open days for interviews UK time","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","rami comment pr brittle portfolio","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","work for mm","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","Take a pass at the doc and OKRs","","","","","","","executive summary?",
"Task","Standalone","Logbook","2025-10-16","","linear","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","slack","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","ihg password reset","","","","","","","https://linear.app/canary-technologies/issue/ENT-4578/unable-to-reset-user-passwords",
"Task","Standalone","Logbook","2025-10-17","","Scoping / triage","","","","","","","",
"Task","Standalone","Logbook","2025-10-16","","prep for interview","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","reschdule sprint planning next week","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","keep in touch with people. JH, SK, MM","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","Post summary of tiger team discussion to eng leads","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","send scripts for reservations to lmena","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","Colour distinguish fixable v non fixable messages.","","","","","","","",
"Task","Standalone","Logbook","2025-10-20","","Write a bettter Claude test command","","","","","","","",
"Task","Standalone","Logbook","2025-10-22","","Tidy up Improve onboarding project","","","","","","","",
"Task","Standalone","Logbook","2025-10-17","","review","","","","","","","",
"Task","Standalone","Logbook","2025-10-21","","Address audit failures","","","","","","","https://linear.app/canary-technologies/issue/ENT-4540/use-twilio-api-to-ensure-all-wyndham-a2p-campaigns-were-approved",
"Task","Standalone","Logbook","2025-10-20","","fix broken image issue on EU","","","","","","","",
"Task","Standalone","Logbook","2025-10-20","","Deploy fix and dev command","","","","","","2025-10-20","",
"Task","Standalone","Logbook","2025-10-20","","m2m?","","","","","","","",
"Task","Standalone","Logbook","2025-10-20","","Verify fix","","","","","","","",
"Task","Standalone","Logbook","2025-10-20","","Take one next step on Felicia","","","","","","","",
"Task","Standalone","Logbook","2025-10-21","","Deactivated Wyndhams","","","","","","","tmp/onetime/wyn/compare_deactivated.py",
"Task","Standalone","Logbook","2025-10-20","","Review Ryan extendable","","","","","","","",
"Task","Standalone","Logbook","2025-10-20","","IHG whatsapp","","","","","","","https://linear.app/canary-technologies/issue/ENT-4602/unable-to-send-whatsapp-messages-error-code-63016",
"Task","Standalone","Logbook","2025-10-21","","PMS upsells issue","","","","","","","https://linear.app/canary-technologies/issue/ENT-4595/hourglass-hotel-trademark-collection-by-wyndham-site-55064-upsell",
"Task","Standalone","Logbook","2025-10-21","","Check pilot portfolio v. IHG salesfroce","","","","","","","",
"Task","Standalone","Logbook","2025-10-21","","demo hotels","","","","","","","",
"Task","Standalone","Logbook","2025-10-30","","compo review notes to blake","","","","","","2025-10-31","",
"Task","Standalone","Logbook","2025-10-20","","spam training","","","","","","","",
"Task","Standalone","Logbook","2025-10-21","","REview and test Rami current user","","","","","","","https://github.com/canary-technologies-corp/canary/pull/32343/files",
"Task","Standalone","Logbook","2025-11-3","","Incident commander comms guide","","","","","","2025-10-31","https://www.notion.so/canarytechnologies/Incident-Management-Communications-Guide-for-Incident-Commanders-27181468615180b9914cff213f5dc347",
"Task","Standalone","Logbook","2025-10-28","","felicia next steps","","","","","","2025-10-28","",
"Task","Standalone","Logbook","2025-10-22","","Limit pipeline","","","","","","","",
"Task","Standalone","Logbook","2025-10-22","","scope the above portfolio work","","","","","","","",
"Task","Standalone","Logbook","2025-10-21","","Give Lauta guidance on validating Wyndham reg card management command","","","","","","2025-10-21","",
"Task","Standalone","Logbook","2025-10-22","","Logs for Ani","","","","","","","https://linear.app/canary-technologies/issue/ENT-4326/sph-error-room-upgrade-error#comment-5c781a2f",
"Task","Standalone","Logbook","2025-10-22","","test AP dash voice","","","","","","","",
"Task","Standalone","Logbook","2025-10-22","","sprint planning","","","","","","","",
"Task","Standalone","Logbook","2025-10-22","","demo hotels","","","","","","","",
"Task","Standalone","Logbook","2025-10-22","","test rami","","","","","","","",
"Task","Standalone","Logbook","2025-10-22","","LoA","","","","","","","",
"Task","Standalone","Logbook","2025-10-23","","follow up on Wyndham","","","","","","","https://linear.app/canary-technologies/issue/ONC-16884/wyndham-needs-to-become-drury",
"Task","Standalone","Logbook","2025-11-20","","Update BW portfolio to only include BW hotels from latest dump (15m job)","","","","","","2025-11-20","Do CohortHotels agree with dump?Are there additional ones due to new activations?",
"Task","Standalone","Logbook","2025-10-23","","Finish turning Portfolio analytics MD into tickets","","","","","","2025-10-23","",
"Task","Standalone","Logbook","2025-10-30","","Replace the current BW reg card plan - consult with Ryan","","","","","","","",
"Task","Standalone","Logbook","2025-11-14","","check whether payment gateway validation catches this issue","","","","","","2025-11-14","https://linear.app/canary-technologies/issue/INT-6728/credit-card-submission-issue#comment-5258d1aehttps://linear.app/canary-technologies/issue/ENT-4494/re-introduce-payment-gateway-validation-to-monitored-hotel-state",
"Task","Standalone","Logbook","2025-10-30","","scopeing the Wyndham portfolio match up work","","","","","","","",
"Task","Standalone","Logbook","2025-10-23","","Give this bullshit some undeserved attention","","","","","","","https://linear.app/canary-technologies/issue/ENT-4629/user-not-receiving-email-and-sms-test-messages#comment-bf81ca8c",
"Task","Standalone","Logbook","2025-10-23","","sso bollocks","","","","","","","https://linear.app/canary-technologies/issue/ENT-4628/jose-hernandez-permission-issue-unable-to-delete-users-on#comment-1471294d",
"Task","Standalone","Logbook","2025-10-30","","Share Ryan and Laura reviews","","","","","","2025-10-30","",
"Task","Standalone","Logbook","2025-10-30","","Share rami review","","","","","","2025-10-31","",
"Task","Standalone","Logbook","2025-11-4","","Share Montse, Lauta reviews","","","","","","2025-11-04","",
"Task","Standalone","Logbook","2025-10-23","","answer all comments on doc","","","","","","","",
"Task","Standalone","Logbook","2025-11-4","","Review Claude's ideas on branch","","","","","","","feature/configuration-precedence-system",
"Task","Standalone","Logbook","2025-11-4","","Review Claude's changes on DAG branch","","","","","","","spike-dag-approach",
